timestamp,gpu_index,gpu_uuid,utilization_pct,memory_used_mib,memory_total_mib,temperature_c,power_w,sm_clock_mhz,mem_clock_mhz,pstate
2026-07-10T02:20:04,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 57, 4693, 10240, 72, 265.92, 1950, 9251, P2
2026-07-10T02:20:05,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.91, 210, 405, P8
2026-07-10T02:20:05,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 66, 4693, 10240, 72, 269.41, 1950, 9251, P2
2026-07-10T02:20:06,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.66, 210, 405, P8
2026-07-10T02:20:06,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 55, 4693, 10240, 72, 264.92, 1950, 9251, P2
2026-07-10T02:20:07,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.84, 210, 405, P8
2026-07-10T02:20:07,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 68, 4693, 10240, 72, 267.07, 1950, 9251, P2
2026-07-10T02:20:09,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.73, 210, 405, P8
2026-07-10T02:20:09,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 66, 4693, 10240, 73, 268.97, 1950, 9251, P2
2026-07-10T02:20:10,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.69, 210, 405, P8
2026-07-10T02:20:10,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 65, 4693, 10240, 73, 267.70, 1920, 9251, P2
2026-07-10T02:20:11,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.90, 210, 405, P8
2026-07-10T02:20:11,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 71, 4693, 10240, 73, 270.04, 1935, 9251, P2
2026-07-10T02:20:12,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.69, 210, 405, P8
2026-07-10T02:20:12,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 55, 4693, 10240, 73, 267.95, 1950, 9251, P2
2026-07-10T02:20:13,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.62, 210, 405, P8
2026-07-10T02:20:13,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 55, 4693, 10240, 73, 269.19, 1950, 9251, P2
2026-07-10T02:20:14,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.81, 210, 405, P8
2026-07-10T02:20:14,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 61, 4693, 10240, 73, 270.11, 1950, 9251, P2
2026-07-10T02:20:15,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.66, 210, 405, P8
2026-07-10T02:20:15,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 27, 4693, 10240, 68, 233.11, 1950, 9251, P2
2026-07-10T02:20:16,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.39, 210, 405, P8
2026-07-10T02:20:16,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 60, 4693, 10240, 72, 230.87, 1950, 9251, P2
2026-07-10T02:20:17,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.53, 210, 405, P8
2026-07-10T02:20:17,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 58, 4693, 10240, 72, 263.85, 1950, 9251, P2
2026-07-10T02:20:18,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.62, 210, 405, P8
2026-07-10T02:20:18,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 63, 4693, 10240, 73, 262.92, 1950, 9251, P2
2026-07-10T02:20:19,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.70, 210, 405, P8
2026-07-10T02:20:19,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 59, 4693, 10240, 73, 263.38, 1935, 9251, P2
2026-07-10T02:20:20,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.90, 210, 405, P8
2026-07-10T02:20:20,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 51, 4693, 10240, 72, 261.05, 1950, 9251, P2
2026-07-10T02:20:21,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.80, 210, 405, P8
2026-07-10T02:20:21,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 68, 4693, 10240, 72, 263.61, 1950, 9251, P2
2026-07-10T02:20:22,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.73, 210, 405, P8
2026-07-10T02:20:22,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 45, 4693, 10240, 72, 260.46, 1950, 9251, P2
2026-07-10T02:20:23,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.74, 210, 405, P8
2026-07-10T02:20:23,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 69, 4693, 10240, 73, 265.62, 1935, 9251, P2
2026-07-10T02:20:24,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.69, 210, 405, P8
2026-07-10T02:20:24,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 55, 4693, 10240, 73, 261.74, 1935, 9251, P2
2026-07-10T02:20:25,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.75, 210, 405, P8
2026-07-10T02:20:25,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 66, 4693, 10240, 74, 263.93, 1950, 9251, P2
2026-07-10T02:20:26,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.69, 210, 405, P8
2026-07-10T02:20:26,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 54, 4693, 10240, 73, 268.67, 1950, 9251, P2
2026-07-10T02:20:27,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.87, 210, 405, P8
2026-07-10T02:20:27,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 52, 4693, 10240, 73, 267.76, 1935, 9251, P2
2026-07-10T02:20:29,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.73, 210, 405, P8
2026-07-10T02:20:29,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 63, 4693, 10240, 73, 266.60, 1950, 9251, P2
2026-07-10T02:20:30,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.76, 210, 405, P8
2026-07-10T02:20:30,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 58, 4693, 10240, 73, 267.11, 1950, 9251, P2
2026-07-10T02:20:31,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.88, 210, 405, P8
2026-07-10T02:20:31,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 62, 4693, 10240, 74, 270.58, 1950, 9251, P2
2026-07-10T02:20:32,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.69, 210, 405, P8
2026-07-10T02:20:32,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 69, 4693, 10240, 73, 267.05, 1935, 9251, P2
2026-07-10T02:20:33,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.66, 210, 405, P8
2026-07-10T02:20:33,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 64, 4693, 10240, 74, 269.15, 1950, 9251, P2
2026-07-10T02:20:34,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.78, 210, 405, P8
2026-07-10T02:20:34,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 70, 4693, 10240, 74, 268.69, 1950, 9251, P2
2026-07-10T02:20:35,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.64, 210, 405, P8
2026-07-10T02:20:35,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 59, 4693, 10240, 73, 267.01, 1950, 9251, P2
2026-07-10T02:20:36,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.65, 210, 405, P8
2026-07-10T02:20:36,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 65, 4693, 10240, 74, 270.33, 1935, 9251, P2
2026-07-10T02:20:37,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.80, 210, 405, P8
2026-07-10T02:20:37,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 58, 4693, 10240, 74, 268.95, 1935, 9251, P2
2026-07-10T02:20:38,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.57, 210, 405, P8
2026-07-10T02:20:38,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 52, 4693, 10240, 73, 265.84, 1950, 9251, P2
2026-07-10T02:20:39,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.72, 210, 405, P8
2026-07-10T02:20:39,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 57, 4693, 10240, 74, 268.28, 1950, 9251, P2
2026-07-10T02:20:40,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.89, 210, 405, P8
2026-07-10T02:20:40,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 72, 4693, 10240, 74, 270.25, 1935, 9251, P2
2026-07-10T02:20:41,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.68, 210, 405, P8
2026-07-10T02:20:41,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 71, 4693, 10240, 74, 270.21, 1935, 9251, P2
2026-07-10T02:20:42,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 6.76, 210, 405, P8
2026-07-10T02:20:42,1, GPU-65b9a886-d157-27fa-09d1-8894bc5cc135, 69, 4693, 10240, 75, 271.65, 1935, 9251, P2
2026-07-10T02:20:43,0, GPU-fcd97b9d-0c2b-3db7-6002-81a1e2c785ea, 0, 0, 10240, 37, 7.02, 210, 405, P8
